,City,Longitude,Latitude,DeltaSeconds
,澳门,113.33,22.13,-1601
安徽省,广德,119.41,30.89,-142
,郎溪,119.17,31.14,-199
,天长,119,32.68,-240
,宁国,118.95,30.62,-252
,宣城,118.73,31.95,-305
,绩溪,118.57,30.07,-343
,旌得,118.53,30.28,-353
,当涂,118.49,31.55,-362
,马鞍山,118.48,31.56,-365
,来安,118.44,32.44,-374
,歙县,118.44,29.88,-374
,泾县,118.41,30.68,-382
,芜湖,118.38,31.33,-389
,和县,118.37,31.7,-391
,南陵,118.32,30.91,-403
,滁州,118.31,32.33,-406
,屯溪,118.31,29.72,-406
,全椒,118.27,32.1,-415
,繁昌,118.21,31.07,-430
,休宁,118.19,29.81,-434
,太平,118.13,30.28,-449
,含山,118.11,31.7,-454
,嘉山,117.98,32.78,-485
,黟县,117.92,29.93,-499
,泗县,117.89,33.49,-506
,巢湖,117.87,31.62,-511
,五河,117.87,33.14,-511
,巢县,117.87,31.62,-511
,青阳,117.84,30.64,-518
,铜陵,117.82,30.93,-523
,无为,117.75,31.3,-540
,祁门,117.7,29.86,-552
,定远,117.68,32.52,-557
,吴壁,117.55,33.55,-588
,贵池,117.48,30.66,-605
,石台,117.48,30.19,-605
,肥东,117.47,31.89,-607
,凤阳,117.4,32.86,-624
,蚌埠,117.34,32.93,-638
,固镇,117.32,33.33,-643
,卢江,117.29,31.23,-650
,合肥,117.27,31.86,-655
,纵阳,117.21,30.69,-670
,怀远,117.19,32.95,-674
,长丰,117.16,32.47,-682
,肥西,117.15,31.7,-684
,安庆,117.03,30.52,-713
,东至,116.99,30.08,-722
,淮南,116.98,32.62,-725
,宿州,116.97,33.63,-727
,宿县,116.97,33.63,-727
,桐城,116.94,31.04,-734
,舒城,116.94,31.45,-734
,萧县,116.93,34.19,-737
,寿县,116.78,32.57,-773
,淮北,116.77,33.97,-775
,濉溪,116.76,33.92,-778
